## Results

### Task 1 — Top 5 Products per Category

| category | product_name | product_total_sales | product_total_profit | product_rank |
|---|---|---|---|---|
| Furniture | Hon Executive Leather Armchair, Adjustable | $58,193.48 | $5,997.25 | 1 |
| Furniture | Office Star Executive Leather Armchair, Adjustable | $51,449.80 | $4,925.80 | 2 |
| Furniture | Harbour Creations Executive Leather Armchair, Adjustable | $50,121.52 | $10,427.33 | 3 |
| Furniture | SAFCO Executive Leather Armchair, Black | $41,923.53 | $7,154.28 | 4 |
| Furniture | Novimex Executive Leather Armchair, Adjustable | $40,585.13 | $5,562.35 | 5 |
| Office Supplies | Eldon File Cart, Single Width | $39,873.23 | $5,571.26 | 1 |
| Office Supplies | Hoover Stove, White | $32,842.60 | -$2,180.63 | 2 |
| Office Supplies | Hoover Stove, Red | $32,644.13 | $11,651.68 | 3 |
| Office Supplies | Rogers File Cart, Single Width | $29,558.82 | $2,368.82 | 4 |
| Office Supplies | Smead Lockers, Industrial | $28,991.66 | $3,630.44 | 5 |
| Technology | Apple Smart Phone, Full Size | $86,935.78 | $5,921.58 | 1 |
| Technology | Cisco Smart Phone, Full Size | $76,441.53 | $17,238.52 | 2 |
| Technology | Motorola Smart Phone, Full Size | $73,156.30 | $17,027.11 | 3 |
| Technology | Nokia Smart Phone, Full Size | $71,904.56 | $9,938.20 | 4 |
| Technology | Canon imageCLASS 2200 Advanced Copier | $61,599.82 | $25,199.93 | 5 |

### Task 2 — Imputed Missing Quantities 

| product_id | discount | market | region | sales | quantity | calculated_quantity |
|---|---|---|---|---|---|---|
| TEC-STA-10003330 | 0 | Africa | Africa | $506.64 | NULL | 2 |
| FUR-ADV-10000571 | 0 | EMEA | EMEA | $438.96 | NULL | 4 |
| FUR-BO-10001337 | 0.15 | US | West | $308.50 | NULL | 3 |
| TEC-STA-10004542 | 0 | Africa | Africa | $160.32 | NULL | 4 |
| FUR-ADV-10004395 | 0 | EMEA | EMEA | $84.12 | NULL | 2 |
